"lp" "aut" "tit" "panis.pmw" "cibus.pmw"
"1" "Ratramnus Corbeiensis" "De corpore et sanguine Domini" 7069.16316392816 477.646159724876
"2" "Auctor incertus" "Liber poenitentialis" 7719.62328238382 1698.31712212444
"3" "Halitgarius Cameracensis" "Liber poenitentialis" 7523.41470904345 1688.92983264241
"4" "Cummianus Hibernus" "De mensura poenitentiarum" 6860.50310356093 1633.45311989546
"5" "Petrus Cellensis" "De panibus" 5751.57996245975 654.371372974462
"6" "Lanfrancus Cantuariensis" "De corpore et sanguine Domini" 4929.32652334006 0
"7" "Auctor incertus" "Expositio canonis missae secundum Petrum Damianum" 5947.01748062714 1081.27590556857
"8" "Durandus Trobarnensis" "Liber de corpore et sanguine Christi" 5720.67615811433 903.264656544367
"9" "Hildebertus Cenomanensis" "De sacra eucharista" 6708.33968592773 2134.47171824973
"10" "Algerus Leodiensis" "De sacramentis" 5417.98480055271 1181.77520817425
"11" "Odo Cameracensis" "Expositio in canonem missae" 4372.42798353909 257.201646090535
"12" "Adalhardus Corbeiensis" "Statuta pro monachis suis" 4058.69497346238 468.310958476428
"13" "Hildebertus Cenomanensis" "De expositione missae" 4185.85182084554 627.877773126831
"14" "Innocentius III" "Mysteria evangelicae legis et sacramenti eucharistiae" 3826.76738109177 428.369482958034
"15" "Auctor incertus" "Canones editi sub Edgardo rege" 4027.77777777778 694.444444444444
"16" "Humbertus Silvae Candidae" "Adversus Graecorum calumnias" 4051.44391576765 753.75700758468
"17" "Auctor incertus" "Expositio super missam" 3360.33086334654 86.1623298293986
"18" "Auctor incertus (Petrus Chrysologus?)" "Sermones" 4011.72658540349 771.485881808363
"19" "Auctor incertus" "In feria II Paschatis" 3202.75930032028 0
"20" "Abedoc; Ethelwolfus" "Canones Hibernenses" 3713.60665478313 594.1770647653
"21" "Wandalbertus Prumiensis" "Vita S. Goaris" 0 2095.76011607287
"22" "Ambrosius Mediolanensis" "De Elia et jejunio" 330.660494337439 2397.28858394643
"23" "Guillelmus abbas" "De natura corporis et animae" 0 1861.70212765957
"24" "Lupus de Olmeto" "Regula monachorum ex scriptis Hieronymi collecta" 417.402472306951 2087.01236153476
"25" "Lactantius" "Liber de opificio Dei" 0 1554.40414507772
"26" "Auctor incertus (Hugo de Folieto?)" "De medicina animae" 110.095783331498 1541.34096664098
"27" "Basilius Caesareae" "Regula S. Basilii" 248.223649508207 1458.31394086072
"28" "Hugo de S. Victore" "De institutione novitiorum" 78.7525594581824 1260.04095133092
"29" "Ambrosius Mediolanensis" "De Noe et Arca" 0 1160.44182748098
"30" "Jonas Bobiensis" "Vita Burgundofarae" 0 1145.85038467834
"31" "Auctor incertus" "Regula ad virgines" 133.209004928733 1198.8810443586
"32" "Marbodus Redonensis" "Carmina varia" 0 1016.9060633024
"33" "Augustinus Hipponensis" "De beata vita" 0 977.729494839761
"34" "Leandrus Hispalensis" "Regula" 0 969.409737182249
"35" "Hildegardis" "Subtilitates diversarum naturarum creaturum" 683.060109289617 1651.57817470027
"36" "Alanus de Insulis" "Liber poenitentialis" 564.546480993602 1505.4572826496
"37" "Cyprianus Carthaginensis" "De lapsis" 396.87789390131 1322.92631300437
"38" "Auctor incertus (Hieronymus Stridonensis?)" "De expositione Psalmorum" 0 915.750915750916
"39" "Hildegardis" "Solutiones quaestionum XXXVIII" 0 900.225056264066
"40" "Patricius Hiberniae" "Confessio" 0 891.26559714795
