"","from","to"
"1","potus2_colloc","potus2_neighb"
"2","potus3_colloc","potus3_neighb"
"3","reficio_colloc","reficio_neighb"
"4","abstinentia_colloc","abstinentia_neighb"
"5","spiritalis_colloc","spiritalis_neighb"
"6","comedo1_colloc","comedo1_neighb"
"7","uesco_colloc","uesco_neighb"
"8","panis_colloc","panis_neighb"
"9","lautus_colloc","lautus_neighb"
"10","uenter_colloc","uenter_neighb"
"11","refectio_colloc","refectio_neighb"
"12","alo_colloc","alo_neighb"
"13","delicatus1_colloc","delicatus1_neighb"
"14","pauper_colloc","pauper_neighb"
"15","lac_colloc","lac_neighb"
"16","manna_colloc","manna_neighb"
"17","mensa_colloc","mensa_neighb"
"18","gusto_colloc","gusto_neighb"
"19","stomachus_colloc","stomachus_neighb"
"20","coquo_colloc","coquo_neighb"
"21","caro2_colloc","caro2_neighb"
"22","suauis_colloc","suauis_neighb"
"23","appetitus_colloc","appetitus_neighb"
"24","poculum_colloc","poculum_neighb"
"25","esuriens_colloc","esuriens_neighb"
"26","usus_colloc","usus_neighb"
"27","perceptio_colloc","perceptio_neighb"
"28","corpus_colloc","corpus_neighb"
"29","delicia_colloc","delicia_neighb"
"30","uinum_colloc","uinum_neighb"
"31","holus_colloc","holus_neighb"
"32","alimentum_colloc","alimentum_neighb"
