"","id","lemma","rank","type"
"1","potus2_colloc","potus2",100,"collocation"
"2","potus3_colloc","potus3",99,"collocation"
"3","sumo_colloc","sumo",98,"collocation"
"4","solidus1_colloc","solidus1",97,"collocation"
"5","abstineo_colloc","abstineo",96,"collocation"
"6","reficio_colloc","reficio",95,"collocation"
"7","solidum2_colloc","solidum2",94,"collocation"
"8","abstinentia_colloc","abstinentia",93,"collocation"
"9","capio1_colloc","capio1",92,"collocation"
"10","spiritalis_colloc","spiritalis",91,"collocation"
"11","comedo1_colloc","comedo1",90,"collocation"
"12","uesco_colloc","uesco",89,"collocation"
"13","dulcis_colloc","dulcis",88,"collocation"
"14","panis_colloc","panis",87,"collocation"
"15","pasco_colloc","pasco",86,"collocation"
"16","lautus_colloc","lautus",85,"collocation"
"17","esurio1_colloc","esurio1",84,"collocation"
"18","uenter_colloc","uenter",83,"collocation"
"19","corporalis_colloc","corporalis",82,"collocation"
"20","uilis_colloc","uilis",81,"collocation"
"21","cibus_colloc","cibus",80,"collocation"
"22","utor_colloc","utor",79,"collocation"
"23","manduco1_colloc","manduco1",78,"collocation"
"24","refectio_colloc","refectio",77,"collocation"
"25","alo_colloc","alo",76,"collocation"
"26","delicatus1_colloc","delicatus1",75,"collocation"
"27","communis_colloc","communis",74,"collocation"
"28","pauper_colloc","pauper",73,"collocation"
"29","paro1_colloc","paro1",72,"collocation"
"30","lac_colloc","lac",71,"collocation"
"31","preparo_colloc","preparo",70,"collocation"
"32","uestis_colloc","uestis",69,"collocation"
"33","facultas_colloc","facultas",68,"collocation"
"34","indigeo_colloc","indigeo",67,"collocation"
"35","distribuo_colloc","distribuo",66,"collocation"
"36","manna_colloc","manna",65,"collocation"
"37","ministro_colloc","ministro",64,"collocation"
"38","mensa_colloc","mensa",63,"collocation"
"39","uetitum_colloc","uetitum",62,"collocation"
"40","gusto_colloc","gusto",61,"collocation"
"41","somnus_colloc","somnus",60,"collocation"
"42","nutrio_colloc","nutrio",59,"collocation"
"43","sanguis_colloc","sanguis",58,"collocation"
"44","stomachus_colloc","stomachus",57,"collocation"
"45","pereo_colloc","pereo",56,"collocation"
"46","ieiuno_colloc","ieiuno",55,"collocation"
"47","huiusmodi_colloc","huiusmodi",54,"collocation"
"48","coquo_colloc","coquo",53,"collocation"
"49","operarius1_colloc","operarius1",52,"collocation"
"50","caro2_colloc","caro2",51,"collocation"
"51","appono_colloc","appono",50,"collocation"
"52","discerno_colloc","discerno",49,"collocation"
"53","uerus_colloc","uerus",48,"collocation"
"54","solidus2_colloc","solidus2",47,"collocation"
"55","sustento_colloc","sustento",46,"collocation"
"56","prebeo_colloc","prebeo",45,"collocation"
"57","suauis_colloc","suauis",44,"collocation"
"58","appeto_colloc","appeto",43,"collocation"
"59","accipio_colloc","accipio",42,"collocation"
"60","immundus1_colloc","immundus1",41,"collocation"
"61","celestis_colloc","celestis",40,"collocation"
"62","nec_colloc","nec",39,"collocation"
"63","appetitus_colloc","appetitus",38,"collocation"
"64","saturo_colloc","saturo",37,"collocation"
"65","poculum_colloc","poculum",36,"collocation"
