"lemma","def","value"
"8","culina","table_NN",1
"40","esculentus","n_NN",1
"72","pasco","let_VV",1
"90","depasco","give_VV",1
"99","pasco","give_VV",1
"129","popina","low_JJ",1
"153","pasco","consume_VV",1
"176","gulosus","dainty_JJ",1
"207","pasco","waste_NN",1
"222","coliphia","flesh_NN",1
"239","pulmentum","flesh_NN",1
"240","pulpamentum","flesh_NN",1
"243","visceratio","flesh_NN",1
"258","inedia","abstain_VVG",1
"288","pasco","drive_NN",1
"304","crudus","full_JJ",1
"350","vescor","use_VV",1
"352","alimentarius","among_IN",1
"396","pasco","attend_VV",1
"408","ambrosia","life_NN",1
"458","vescor","take_VVP",2
"485","vescor","upon_RB",1
"504","pasco","cause_VV",1
"538","tumidus","rise_VVG",1
"553","esculentus","fit_NN",1
"585","pasco","grow_VV",1
"612","pasco","lay_VV",1
"646","tumidus","enraged_JJ",1
"675","visceratio","public_JJ",1
"682","crudus","rough_JJ",1
"709","crudus","unripe_JJ",1
"747","pasco","pile_VVP",1
"762","coliphia","Iu_NP",1
"805","pransus","wine_NN",1
"837","visceratio","animal_JJ",1
"862","tumidus","high_JJ",1
"887","pulmentum","bit_NNS",1
"903","esca","course_NN",1
"919","alimentarius","poor_JJ",1
"958","esculentus","eat_VV",1
"963","pasco","eat_VV",1
"971","vescor","eat_VV",1
"990","pasco","cherish_VV",2
"1022","pulmentum","yet_RB",1
"1033","crudus","new_JJ",1
"1055","alimentum","support_NN",1
"1071","pasco","support_NN",1
"1082","alimentum","tear_NNS",1
"1131","pulpamentum","choice_NN",1
"1159","tumidus","arrogant_JJ",2
"1186","tumidus","haughty_JJ",1
"1212","pulpamentum","bit_NN",1
"1218","ambrosia","god_NNS",1
"1249","crudus","ith_NN",1
"1294","tumidus","exasperate_VVN",1
"1309","esculentus","good_JJ",1
"1350","visceratio","distribution_NN",1
"1352","alimentum","return_NN",1
"1390","esculentus","edible_JJ",1
"1429","tumidus","cause_VVG",1
"1448","pabulum","cattle_NNS",1
"1483","tumidus","excite_VVN",1
"1503","pasco","pasture_NN",2
"1504","pastus2","pasture_NN",1
"1535","pulmentum","hunt_VV",1
"1541","alimentum","child_NNS",1
"1584","pasco","live_VVP",1
"1594","alimentarius","pertain_VVG",1
"1621","alimentarius","lex_NN",1
"1665","pasco","cultivate_VV",1
"1692","pasco","delight_NN",1
"1724","pulmentum","game_NN",1
"1746","pasco","debt_NNS",1
"1756","alimentarius","distribute_VVG",1
"1783","alimentarius","food_NN",1
"1784","alimentum","food_NN",3
"1785","ambrosia","food_NN",1
"1786","cibaria","food_NN",1
"1787","cibus","food_NN",1
"1788","coliphia","food_NN",1
"1789","crudus","food_NN",1
"1790","culina","food_NN",1
"1791","depasco","food_NN",1
"1792","edendum","food_NN",1
"1793","epulae","food_NN",1
"1794","esca","food_NN",1
"1795","esculentus","food_NN",1
"1796","gulosus","food_NN",1
"1797","inedia","food_NN",1
"1798","macies","food_NN",1
"1799","pabulum","food_NN",3
"1800","pasco","food_NN",1
"1801","pastus2","food_NN",2
"1802","penus","food_NN",1
"1803","popina","food_NN",1
"1804","pransus","food_NN",1
"1805","pulmentum","food_NN",1
"1806","pulpamentum","food_NN",1
"1807","tumidus","food_NN",1
"1808","vescor","food_NN",3
"1809","visceratio","food_NN",1
"1810","alimentarius","nourishment_NN",1
"1811","alimentum","nourishment_NN",1
"1826","pabulum","nourishment_NN",2
"1838","alimentum","aliment_NN",1
"1865","alimentum","due_JJ",1
"1892","alimentum","fuel_NN",1
"1919","alimentum","nutriment_NN",1
"1921","cibaria","nutriment_NN",1
"1922","cibus","nutriment_NN",1
"1946","alimentum","parent_NNS",1
"1973","alimentum","provision_NNS",1
"1975","cibaria","provision_NNS",1
"2001","ambrosia","sustenance_NN",1
"2015","pabulum","sustenance_NN",1
"2017","pastus2","sustenance_NN",1
"2034","depasco","feed_VV",1
"2043","pasco","feed_VV",2
"2074","pransus","fill_VVN",1
"2097","pasco","maintain_VV",1
"2124","pasco","nourish_VV",1
"2136","ambrosia","ambrosia_NN",1
"2150","pabulum","ambrosia_NN",1
"2163","ambrosia","immortal_JJ",1
"2201","gulosus","luxurious_JJ",1
"2222","culina","splendid_JJ",1
"2258","pabulum","grass_NN",2
"2284","macies","poverty_NN",1
"2319","pulpamentum","animal_NN",1
"2347","tumidus","pride_NN",1
"2367","pasco","supply_NN",2
"2380","cibaria","bare_JJ",1
"2414","epulae","sumptuous_JJ",1
"2434","cibaria","supply_NNS",1
"2478","popina","shop_NN",1
"2491","crudus","cruel_JJ",1
"2518","crudus","unfeeling_JJ",1
"2545","crudus","blood_NN",1
"2577","esca","meat_NN",1
"2617","tumidus","anger_NN",1
"2637","pasco","feed_NN",4
"2664","pasco","satisfy_VV",1
"2691","pasco","feast_NN",1
"2712","esca","dish_NN",1
"2745","pasco","gratify_VV",1
"2779","tumidus","vain_JJ",1
"2798","pabulum","pasturage_NN",1
"2815","crudus","stomach_NN",1
"2853","pasco","browse_VV",1
"2880","pasco","graze_NN",1
"2910","popina","tavern_NN",1
"2936","penus","provision_NN",1
"2963","penus","store_NN",1
"2995","tumidus","ambition_NN",1
"3001","cibaria","competence_NN",1
"3028","cibaria","fare_VVP",1
"3055","cibaria","fodder_NN",1
"3056","cibus","fodder_NN",1
"3068","pabulum","fodder_NN",1
"3070","pastus2","fodder_NN",1
"3082","cibaria","monthly_JJ",1
"3109","cibaria","ration_NN",1
"3136","cibaria","victual_VVZ",1
"3137","cibus","victual_VVZ",1
"3142","edendum","victual_VVZ",1
"3144","esca","victual_VVZ",1
"3152","penus","victual_VVZ",1
"3165","coliphia","athlete_NNS",1
"3192","coliphia","cake_VVZ",1
"3231","pasco","feast_VV",1
"3261","popina","cook_NN",1
"3275","culina","kitchen_NN",1
"3301","crudus","bleeding_NN",1
"3328","crudus","bloody_JJ",1
"3355","crudus","crude_NN",2
"3382","crudus","dyspeptic_JJ",1
"3409","crudus","Fresh_NP",1
"3436","crudus","hide_NN",1
"3463","crudus","hoarse_JJ",1
"3490","crudus","immature_JJ",2
"3517","crudus","merciless_JJ",1
"3544","crudus","raw_JJ",3
"3571","crudus","stuff_VVN",1
"3589","tumidus","stuff_VVN",1
"3598","crudus","trickle_VVG",1
"3625","crudus","undigested_JJ",1
"3652","crudus","unprepared_JJ",1
"3679","crudus","vigorous_JJ",1
"3724","tumidus","swelling_NN",1
"3737","epulae","viand_NNS",1
"3738","esca","viand_NNS",1
"3771","pasco","desolate_JJ",1
"3789","depasco","feed_VVP",1
"3806","vescor","feed_VVP",1
"3825","pasco","ravage_VV",1
"3857","pulmentum","portion_NN",1
"3872","epulae","dish_NNS",1
"3899","epulae","meat_NNS",1
"3927","esca","bait_NN",1
"3955","esculentus","eat_VVG",1
"3964","pransus","eat_VVG",1
"3985","macies","meagreness_NN",1
"4012","macies","thinness_NN",1
"4048","tumidus","swell_VV",1
"4066","macies","leanness_NN",1
"4102","tumidus","swollen_JJ",2
"4118","gulosus","appetizing_JJ",1
"4145","gulosus","dainty_NN",1
"4176","pasco","vegetable_NNS",1
"4200","inedia","fast_VVG",1
"4234","pransus","breakfast_VVN",1
"4264","tumidus","puff_VVD",1
"4291","tumidus","elate_VVN",1
"4316","pulmentum","hare_NN",1
"4336","macies","atrophy_NN",1
"4363","macies","privation_NN",1
"4395","popina","sell_VVN",1
"4424","pulmentum","relish_NN",1
"4425","pulpamentum","relish_NN",1
"4453","tumidus","incensed_JJ",1
"4473","pasco","chew_VVZ",1
"4500","pasco","cud_NN",1
"4527","pasco","fed_NN",1
"4554","pasco","feed_NNS",1
"4581","pasco","feed_VVN",1
"4608","pasco","graze_VV",1
"4635","pasco","pasture_VV",3
"4665","popina","cookshop_NN",1
"4692","popina","eatinghouse_NN",1
"4722","pulpamentum","appetizer_NN",1
"4750","tumidus","swell_NNS",1
"4777","tumidus","tumid_JJ",1
"4804","tumidus","inflate_VVD",1
"4831","tumidus","protuberant_JJ",1
"4858","tumidus","Puffing_NN",1
"4885","tumidus","Swollen_NP",1
"4914","visceratio","dispensation_NN",1
