"","Source","Target","Weight"
"2","alimentum","cibus",64.6920082197914
"3","alimonia","cibus",75.4884503940309
"4","daps","cibus",74.0430994225883
"5","refectio","cibus",68.9521441900277
"6","epule","cibus",67.7430078425811
"7","esca","cibus",64.4322159063641
"8","uictus2","cibus",92.1262994024613
"9","alo","cibus",117.711420737776
"10","potus3","cibus",80.9891132635317
"11","subsidium","cibus",104.994163020668
"12","comedo1","cibus",130.414647921689
"13","copia","cibus",104.328972713919
"14","delicia","cibus",87.2809229702545
"15","edulium","cibus",85.1103649508231
"16","esus","cibus",91.4933244534615
"17","pabulum","cibus",91.9936816961231
"18","panis","cibus",87.2035527502036
"19","potus2","cibus",89.6413689231585
"20","saturitas","cibus",107.94522420687
"21","coquo","cibus",124.249109380914
"22","elinguo","cibus",197.026313074751
"23","esurio1","cibus",130.037781304936
"24","holus","cibus",107.919065724534
"25","legumen","cibus",115.660606821023
"26","nutrimentum","cibus",141.636100908947
"27","pascua","cibus",116.20751866604
"28","pastus","cibus",100.689210133278
"29","reficio","cibus",121.661528879321
"30","ruminor","cibus",140.922449203583
"31","cibus","alimentum",64.6920082197914
"33","alimonia","alimentum",44.3781089369456
"34","daps","alimentum",77.020658346207
"35","refectio","alimentum",66.8626501394069
"36","epule","alimentum",75.0360379901658
"37","esca","alimentum",78.4975727848544
"38","uictus2","alimentum",85.6676018222385
"39","alo","alimentum",118.664255626857
"40","potus3","alimentum",89.8013665980167
"41","subsidium","alimentum",77.1680613183371
"42","comedo1","alimentum",139.637692091353
"43","copia","alimentum",88.6328322850083
"44","delicia","alimentum",90.2227204030611
"45","edulium","alimentum",91.9125575248185
"46","esus","alimentum",99.9108727573664
"47","pabulum","alimentum",76.5075419291265
"48","panis","alimentum",97.8723308596323
"49","potus2","alimentum",93.0662226036652
"50","saturitas","alimentum",118.430621019406
"51","coquo","alimentum",134.459534566345
"52","elinguo","alimentum",195.765961859109
"53","esurio1","alimentum",134.159300369176
"54","holus","alimentum",117.034401828787
"55","legumen","alimentum",115.61970914881
"56","nutrimentum","alimentum",127.332948812715
"57","pascua","alimentum",108.367307161303
"58","pastus","alimentum",92.2671980137218
"59","reficio","alimentum",121.754419214477
"60","ruminor","alimentum",143.964543763909
"61","cibus","alimonia",75.4884503940309
"62","alimentum","alimonia",44.3781089369456
"64","daps","alimonia",80.1810144790894
"65","refectio","alimonia",64.9437589358631
"66","epule","alimonia",76.1162421583602
"67","esca","alimonia",84.4956650194025
"68","uictus2","alimonia",84.0424584475828
"69","alo","alimonia",118.951755630318
"70","potus3","alimonia",95.0098824834221
"71","subsidium","alimonia",69.1054254901326
"72","comedo1","alimonia",138.163311685115
"73","copia","alimonia",84.8766176820458
"74","delicia","alimonia",88.3684312196684
"75","edulium","alimonia",90.2618663946629
"76","esus","alimonia",96.451855925857
"77","pabulum","alimonia",71.4511129064616
"78","panis","alimonia",100.080108380774
"79","potus2","alimonia",96.629690584856
"80","saturitas","alimonia",117.655924595821
"81","coquo","alimonia",132.794460692221
"82","elinguo","alimonia",192.639661147612
"83","esurio1","alimonia",134.719184528474
"84","holus","alimonia",118.190266858425
"85","legumen","alimonia",117.207995131331
"86","nutrimentum","alimonia",122.264691506046
"87","pascua","alimonia",104.438755933767
"88","pastus","alimonia",90.3662245972642
"89","reficio","alimonia",120.811407264125
"90","ruminor","alimonia",143.370895117862
"91","cibus","daps",74.0430994225883
"92","alimentum","daps",77.020658346207
"93","alimonia","daps",80.1810144790894
"95","refectio","daps",71.330716432023
"96","epule","daps",59.0735050346994
"97","esca","daps",82.3254656762967
"98","uictus2","daps",98.3152727426687
"99","alo","daps",104.956522606027
"100","potus3","daps",79.1541815222857
"101","subsidium","daps",94.3005039779899
"102","comedo1","daps",119.922491055129
"103","copia","daps",87.3130138127693
"104","delicia","daps",74.7610869291272
"105","edulium","daps",78.717176032259
"106","esus","daps",100.177668725769
"107","pabulum","daps",88.2701251078461
"108","panis","daps",93.2647118336359
"109","potus2","daps",90.2864848443077
"110","saturitas","daps",96.2835587695446
"111","coquo","daps",116.505487578877
"112","elinguo","daps",174.648504475261
"113","esurio1","daps",114.822082136337
"114","holus","daps",100.257326194856
"115","legumen","daps",105.635864224973
"116","nutrimentum","daps",128.33858251111
"117","pascua","daps",106.090174642166
"118","pastus","daps",97.4916381368733
"119","reficio","daps",100.58419389082
"120","ruminor","daps",119.51880101205
"121","cibus","refectio",68.9521441900277
"122","alimentum","refectio",66.8626501394069
"123","alimonia","refectio",64.9437589358631
"124","daps","refectio",71.330716432023
"126","epule","refectio",65.6803430868211
"127","esca","refectio",74.0690496867687
"128","uictus2","refectio",87.7311939268508
"129","alo","refectio",110.029646828944
"130","potus3","refectio",87.4259538562219
"131","subsidium","refectio",85.8991994367652
"132","comedo1","refectio",124.735226872247
"133","copia","refectio",91.5438372780691
"134","delicia","refectio",80.6902423845697
"135","edulium","refectio",82.3837281658887
"136","esus","refectio",88.3729720017754
"137","pabulum","refectio",85.8407609283511
"138","panis","refectio",91.9030685321691
"139","potus2","refectio",90.5317659521506
"140","saturitas","refectio",99.2826762869019
"141","coquo","refectio",119.064190131125
"142","elinguo","refectio",182.943617061445
"143","esurio1","refectio",121.161672708207
"144","holus","refectio",110.054813882438
"145","legumen","refectio",114.189213968236
"146","nutrimentum","refectio",126.884717379603
"147","pascua","refectio",106.233919506166
"148","pastus","refectio",92.0331027977811
"149","reficio","refectio",104.105180386808
"150","ruminor","refectio",128.767687602355
"151","cibus","epule",67.7430078425811
"152","alimentum","epule",75.0360379901658
"153","alimonia","epule",76.1162421583602
"154","daps","epule",59.0735050346994
"155","refectio","epule",65.6803430868211
"157","esca","epule",83.6903744450368
"158","uictus2","epule",93.089000411074
"159","alo","epule",116.715692412442
"160","potus3","epule",79.5360755265721
"161","subsidium","epule",92.7994259734359
"162","comedo1","epule",130.053735687947
"163","copia","epule",85.5752009467806
"164","delicia","epule",65.9399779153524
"165","edulium","epule",84.2842064465446
"166","esus","epule",97.5260687910713
"167","pabulum","epule",83.3657372268011
"168","panis","epule",93.492484216249
"169","potus2","epule",89.0257644019823
"170","saturitas","epule",105.374087894366
"171","coquo","epule",126.35884992094
"172","elinguo","epule",182.911089194556
"173","esurio1","epule",125.991314602979
"174","holus","epule",108.543949660801
"175","legumen","epule",113.817709109976
"176","nutrimentum","epule",129.252123780781
"177","pascua","epule",100.346308131163
"178","pastus","epule",93.120038555412
"179","reficio","epule",112.679092885329
"180","ruminor","epule",133.197001349015
"181","cibus","esca",64.4322159063641
"182","alimentum","esca",78.4975727848544
"183","alimonia","esca",84.4956650194025
"184","daps","esca",82.3254656762967
"185","refectio","esca",74.0690496867687
"186","epule","esca",83.6903744450368
"188","uictus2","esca",89.7521094299416
"189","alo","esca",101.006911867364
"190","potus3","esca",88.8618071955258
"191","subsidium","esca",100.625698392642
"192","comedo1","esca",110.105738476502
"193","copia","esca",101.094442217864
"194","delicia","esca",87.5330867185635
"195","edulium","esca",83.2380357958231
"196","esus","esca",83.9512009398325
"197","pabulum","esca",91.895950389981
"198","panis","esca",81.3457387573754
"199","potus2","esca",76.6397569704366
"200","saturitas","esca",88.3530603028276
"201","coquo","esca",107.742306365802
"202","elinguo","esca",173.291665813239
"203","esurio1","esca",110.553989672349
"204","holus","esca",103.502089560208
"205","legumen","esca",111.146366793992
"206","nutrimentum","esca",127.453562231471
"207","pascua","esca",108.114503187442
"208","pastus","esca",91.6093971105917
"209","reficio","esca",102.794880322058
"210","ruminor","esca",121.46839178258
"211","cibus","uictus2",92.1262994024613
"212","alimentum","uictus2",85.6676018222385
"213","alimonia","uictus2",84.0424584475828
"214","daps","uictus2",98.3152727426687
"215","refectio","uictus2",87.7311939268508
"216","epule","uictus2",93.089000411074
"217","esca","uictus2",89.7521094299416
"219","alo","uictus2",112.642125725769
"220","potus3","uictus2",101.115751271553
"221","subsidium","uictus2",73.4082957015446
"222","comedo1","uictus2",128.047265302844
"223","copia","uictus2",84.7878467091387
"224","delicia","uictus2",89.1622720308895
"225","edulium","uictus2",102.567100632092
"226","esus","uictus2",97.6448411430452
"227","pabulum","uictus2",88.7561969493716
"228","panis","uictus2",90.6408707718732
"229","potus2","uictus2",100.132490577577
"230","saturitas","uictus2",117.227483199233
"231","coquo","uictus2",127.143030064442
"232","elinguo","uictus2",154.659644784144
"233","esurio1","uictus2",121.244311555099
"234","holus","uictus2",104.583715976085
"235","legumen","uictus2",101.328416555948
"236","nutrimentum","uictus2",108.380362350785
"237","pascua","uictus2",96.9479478519774
"238","pastus","uictus2",86.3333271969936
"239","reficio","uictus2",117.299005294041
"240","ruminor","uictus2",130.739886394891
"241","cibus","alo",117.711420737776
"242","alimentum","alo",118.664255626857
"243","alimonia","alo",118.951755630318
"244","daps","alo",104.956522606027
"245","refectio","alo",110.029646828944
"246","epule","alo",116.715692412442
"247","esca","alo",101.006911867364
"248","uictus2","alo",112.642125725769
"250","potus3","alo",109.924475459542
"251","subsidium","alo",114.912528497352
"252","comedo1","alo",75.3687473253096
"253","copia","alo",116.935601867107
"254","delicia","alo",112.411089554248
"255","edulium","alo",98.6982378076293
"256","esus","alo",107.059945298143
"257","pabulum","alo",118.174347807423
"258","panis","alo",108.743301611828
"259","potus2","alo",111.578249516183
"260","saturitas","alo",89.2619143972257
"261","coquo","alo",89.9551673395845
"262","elinguo","alo",142.891411918854
"263","esurio1","alo",71.9210468506514
"264","holus","alo",92.5018574028084
"265","legumen","alo",107.407863239214
"266","nutrimentum","alo",126.635623255472
"267","pascua","alo",108.493021600169
"268","pastus","alo",105.717447888542
"269","reficio","alo",68.9027029434168
"270","ruminor","alo",76.1980738234221
