Id,n,sense,cat,subcat,pos
cibus,8,food,food,general,N
alimentum,7,food,food,general,N
alimonia,7,food,food,general,N
daps,6,feast,occasion,feast,N
refectio,6,refreshment,effect,refreshment,N
epule,5,feast,occasion,feast,N
esca,5,food,food,general,N
uictus2,5,food,food,general,N
alo,4,to,feed,food,V
potus3,4,drink,drink,general,N
subsidium,4,support,effect,,N
comedo1,3,to,eat,food,V
copia,3,abundance,food,quantity,N
delicia,3,pleasure,food,quality,N
edulium,3,food,food,general,N
esus,3,food,food,general,N
pabulum,3,food,food,pasture,N
panis,3,food,food,typeof,N
potus2,3,drink,drink,general,N
saturitas,3,satiety,food,quantity,N
coquo,2,to,cook,food,V
elinguo,2,to,?,of,V
esurio1,2,to,food,to,V
holus,2,food,food,typeof,N
legumen,2,food,food,typeof,N
nutrimentum,2,food,food,general,N
pascua,2,pasture,food,pasture,N
pastus,2,pasture,food,pasture,N
reficio,2,to,effect,restore,V
ruminor,2,to,food,to,V
