lemma col_1 col_2 diff1 diff2 -0.032
1 uinum 0.08 0.005 0.075 -0.075
2 manduco1 0.074 0.01 0.064 -0.064
3 quinque 0.034 0 0.034 -0.034
4 aqua 0.035 0.002 0.033 -0.033
5 comedo1 0.047 0.015 0.032 -0.032
6 frango 0.032 0.002 0.03 -0.03
7 uiuus 0.03 0.001 0.029 -0.029
8 propositio 0.024 -0.001 0.025 -0.025
9 quotidianus 0.029 0.004 0.025 -0.025
10 fractio 0.019 -0.001 0.02 -0.02
11 solon 0.019 0.001 0.018 -0.018
12 hordeaceus 0.018 0.001 0.017 -0.017
13 lacrima 0.018 0.001 0.017 -0.017
14 calix 0.017 0.001 0.016 -0.016
15 subcinericius 0.015 -0.001 0.016 -0.016
16 azymus 0.013 -0.001 0.014 -0.014
17 saturo 0.019 0.005 0.014 -0.014
18 lapis 0.013 0 0.013 -0.013
19 piscis 0.015 0.002 0.013 -0.013
20 species 0.014 0.001 0.013 -0.013
21 potus2 0.005 0.091 -0.086 0.086
22 potus3 0.002 0.074 -0.072 0.072
23 sumo 0.01 0.053 -0.043 0.043
24 abstineo 0.001 0.026 -0.025 0.025
25 solidus1 0.002 0.026 -0.024 0.024
26 abstinentia -0.001 0.017 -0.018 0.018
27 solidum2 0.001 0.018 -0.017 0.017
28 capio1 0.001 0.015 -0.014 0.014
29 lautus -0.001 0.011 -0.012 0.012
30 dulcis 0.002 0.013 -0.011 0.011
31 reficio 0.014 0.024 -0.01 0.01
32 spiritalis 0.005 0.015 -0.01 0.01
33 uilis 0.001 0.011 -0.01 0.01
34 facultas -0.001 0.008 -0.009 0.009
35 uenter 0.002 0.011 -0.009 0.009
36 utor 0.001 0.01 -0.009 0.009
37 corporalis 0.003 0.011 -0.008 0.008
38 delicatus1 0.001 0.009 -0.008 0.008
39 somnus -0.001 0.007 -0.008 0.008
40 uetitum -0.001 0.007 -0.008 0.008
