"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
1	uinum	18420	31.869	1916	526	0.08
2	manduco1	14363	24.85	1621	498	0.074
3	comedo1	16281	28.168	1084	423	0.047
4	aqua	52979	91.661	1464	394	0.035
5	quinque	15539	26.885	857	263	0.034
6	frango	9131	15.798	624	328	0.032
7	uiuus	14571	25.21	660	301	0.03
8	quotidianus	4276	7.398	491	202	0.029
9	propositio	4111	7.113	397	199	0.024
10	fractio	531	0.919	296	144	0.019
11	panis	29670	51.333	584	173	0.019
12	esurio1	5315	9.196	338	211	0.019
13	saturo	2797	4.839	310	168	0.019
14	uesco	2712	4.692	308	177	0.019
15	solon	7727	13.369	354	214	0.019
16	hordeaceus	358	0.619	267	128	0.018
17	lacrima	14249	24.653	386	204	0.018
18	calix	8359	14.462	324	154	0.017
19	piscis	5037	8.715	267	115	0.015
20	angelus	45679	79.031	571	252	0.015
21	edo1	31632	54.728	464	265	0.015
22	subcinericius	275	0.476	221	96	0.015
23	species	24299	42.041	386	121	0.014
24	reficio	6506	11.256	253	144	0.014
25	do	144347	249.74	1219	467	0.014
26	celestis	42191	72.996	494	274	0.014
27	accipio	98697	170.759	854	340	0.013
28	offero	31610	54.69	409	221	0.013
29	azymus	1224	2.118	204	97	0.013
30	lapis	20490	35.45	324	139	0.013
31	celum	89967	155.655	751	280	0.013
32	septem	19545	33.816	311	122	0.012
33	benedico	22826	39.492	322	181	0.012
34	dedo	28766	49.769	357	166	0.012
35	cibus	19443	33.639	300	202	0.012
36	peniteo	12692	21.959	242	33	0.011
37	uiuo	64920	112.32	530	306	0.011
38	coquo	2088	3.613	175	122	0.011
39	cibo	834	1.443	165	108	0.011
40	pasco	11539	19.964	220	154	0.011
41	cinis	4429	7.663	179	107	0.01
42	uultus	10646	18.419	207	139	0.01
43	mensa	6674	11.547	188	116	0.01
44	peto	31265	54.093	311	170	0.01
45	sumo	20939	36.227	256	175	0.01
46	buccella	607	1.05	153	87	0.01
47	esuriens	1023	1.77	144	97	0.009
48	porrigo1	4154	7.187	151	106	0.009
49	uita	140717	243.459	757	342	0.009
50	iste2	118621	205.23	645	242	0.009
51	mille	18571	32.13	208	137	0.009
52	nox	32345	55.961	255	167	0.008
53	unus	180002	311.428	878	336	0.008
54	corpus	132600	229.416	661	267	0.008
55	tres	56314	97.431	340	152	0.008
56	de	670354	1159.802	2744	749	0.008
57	substantia	27702	47.928	221	87	0.008
58	fames	3873	6.701	125	85	0.007
59	duo	81919	141.731	415	184	0.007
60	saturitas	940	1.626	111	80	0.007
61	sacramentum	31108	53.821	219	123	0.007
62	caro2	101490	175.591	476	240	0.007
63	dies	162845	281.744	670	298	0.007
64	satio1	2441	4.223	110	79	0.007
