"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
1	potus2	4493	5.094	1099	573	0.091
2	potus3	1427	1.618	769	432	0.074
3	sumo	20939	23.74	1065	521	0.053
4	solidus1	1943	2.203	280	173	0.026
5	abstineo	6458	7.322	339	206	0.026
6	reficio	6506	7.376	311	221	0.024
7	solidum2	2557	2.899	199	133	0.018
8	abstinentia	3835	4.348	197	128	0.017
9	capio1	25196	28.567	341	221	0.015
10	spiritalis	37791	42.846	435	250	0.015
11	comedo1	16281	18.459	259	151	0.015
12	uesco	2712	3.075	146	109	0.013
13	dulcis	11566	13.113	195	136	0.013
14	panis	29670	33.639	300	202	0.012
15	pasco	11539	13.083	190	139	0.012
16	lautus	380	0.431	111	85	0.011
17	esurio1	5315	6.026	139	109	0.011
18	uenter	8772	9.945	155	116	0.011
19	corporalis	9285	10.527	154	111	0.011
20	uilis	5616	6.367	133	87	0.011
21	cibus	19443	22.044	204	85	0.011
22	utor	15865	17.987	182	129	0.01
23	manduco1	14363	16.284	172	113	0.01
24	refectio	3521	3.992	115	76	0.01
25	alo	2631	2.983	104	82	0.009
26	delicatus1	987	1.119	95	81	0.009
27	communis	22690	25.725	176	124	0.008
28	pauper	27406	31.072	194	138	0.008
29	paro1	20469	23.207	166	113	0.008
30	lac	5515	6.253	102	80	0.008
31	preparo	14420	16.349	133	104	0.008
32	uestis	12613	14.3	126	97	0.008
33	facultas	8648	9.805	109	88	0.008
34	indigeo	7378	8.365	103	72	0.008
35	distribuo	4243	4.811	86	75	0.007
36	manna	2628	2.98	79	71	0.007
37	ministro	11944	13.542	108	95	0.007
38	mensa	6674	7.567	91	82	0.007
39	uetitum	768	0.871	70	50	0.007
40	gusto	4131	4.684	81	69	0.007
41	somnus	6827	7.74	88	78	0.007
42	nutrio	6819	7.731	88	78	0.007
43	sanguis	45862	51.997	216	141	0.007
44	stomachus	1113	1.262	68	52	0.007
45	pereo	23479	26.62	137	81	0.006
46	ieiuno	5984	6.785	83	58	0.006
47	huiusmodi	23614	26.773	135	100	0.006
48	coquo	2088	2.367	68	48	0.006
49	operarius1	998	1.132	64	39	0.006
50	caro2	101490	115.066	363	234	0.006
51	appono	6182	7.009	77	71	0.006
52	discerno	8580	9.728	84	50	0.006
53	uerus	71537	81.107	272	166	0.006
54	solidus2	2577	2.922	63	46	0.006
55	sustento	3408	3.864	65	59	0.006
56	prebeo	14414	16.342	95	72	0.006
57	suauis	6568	7.447	73	56	0.006
58	appeto	8929	10.123	77	64	0.005
59	accipio	98697	111.9	318	223	0.005
60	immundus1	7659	8.684	73	51	0.005
61	celestis	42191	47.835	167	135	0.005
62	nec	293863	333.173	830	446	0.005
63	appetitus	2559	2.901	58	53	0.005
64	saturo	2797	3.171	58	46	0.005
65	poculum	2380	2.698	58	50	0.005
66	esuriens	1023	1.16	53	47	0.005
67	ieiunium	12078	13.694	81	72	0.005
68	usus	21101	23.924	103	88	0.005
69	perceptio	1312	1.488	52	40	0.005
70	ueto	2487	2.82	55	45	0.005
71	reliquie	7150	8.107	67	52	0.005
72	corpus	132600	150.338	374	255	0.005
73	carnalis	18612	21.102	94	76	0.005
74	delicia	5819	6.597	60	55	0.005
75	opero	29460	33.401	118	77	0.005
76	eiusmodi	3536	4.009	54	39	0.005
77	sitio	6675	7.568	62	51	0.005
78	uinum	18420	20.884	89	74	0.005
79	do	144347	163.657	381	259	0.005
80	anima	116733	132.349	315	217	0.005
81	meus	230405	261.227	564	306	0.005
82	post2	104923	118.959	283	182	0.005
83	pretiosus	10798	12.243	68	48	0.005
84	satio1	2441	2.768	49	46	0.005
85	saisio1	1855	2.103	47	42	0.004
86	condio	4851	5.5	53	40	0.004
87	uestimentum	10047	11.391	65	52	0.004
88	percipio	16328	18.512	79	66	0.004
89	aut	162695	184.459	405	231	0.004
90	egeo	4709	5.339	53	39	0.004
91	fortitudo	14975	16.978	72	57	0.004
92	holus	1270	1.44	43	36	0.004
93	alimentum	2548	2.889	46	43	0.004
94	fastidio	1155	1.31	42	35	0.004
95	digero	1340	1.519	43	22	0.004
96	parcus	696	0.789	42	40	0.004
97	emereo	1231	1.396	41	32	0.004
98	capero	1323	1.5	42	38	0.004
99	prohibeo	17516	19.859	73	54	0.004
100	perfector	1095	1.242	41	35	0.004
101	alimonia	978	1.109	41	32	0.004
102	sumptum	958	1.086	40	30	0.004
103	dens	5921	6.713	50	43	0.004
