"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
1	rapax	1290	0.244	58	42	0.006
2	lac	5515	1.042	65	50	0.005
3	cibus	19443	3.674	100	80	0.005
4	prohibeo	17516	3.31	49	44	0.003
5	panis	29670	5.607	64	59	0.003
6	simul	31749	5.999	65	49	0.003
7	reficio	6506	1.229	30	28	0.002
8	potus2	4493	0.849	24	24	0.002
9	comedo1	16281	3.077	32	28	0.002
10	mensa	6674	1.261	24	24	0.002
11	esurio1	5315	1.004	21	21	0.002
12	uenter	8772	1.658	24	20	0.002
13	ieiunium	12078	2.282	25	23	0.002
14	distribuo	4243	0.802	19	17	0.002
15	caro2	101490	19.178	94	80	0.002
16	manduco1	14363	2.714	26	24	0.002
17	horreum	1698	0.321	15	13	0.001
18	abstineo	6458	1.22	18	17	0.001
19	muto2	16202	3.062	23	23	0.001
20	nubo	4519	0.854	14	14	0.001
21	hebdomas	4614	0.872	13	12	0.001
22	dolor	22230	4.201	22	21	0.001
23	deuoro	5199	0.982	14	14	0.001
24	pasco	11539	2.18	17	15	0.001
25	repleo	11236	2.123	17	14	0.001
26	nemo	32213	6.087	29	26	0.001
27	uesco	2712	0.513	12	11	0.001
28	quadraginta	7166	1.354	15	15	0.001
29	lacto1	909	0.172	11	8	0.001
30	epule	2079	0.393	11	11	0.001
31	alimentum	2548	0.482	11	11	0.001
32	opus1	112889	21.332	63	54	0.001
33	esca	5691	1.075	12	12	0.001
34	gula	1924	0.364	11	11	0.001
35	nutrio	6819	1.289	13	13	0.001
36	sal	4167	0.787	12	10	0.001
37	stomachus	1113	0.21	9	8	0.001
38	abstinentia	3835	0.725	10	10	0.001
39	conuiuium	4976	0.94	11	11	0.001
40	uiuo	64920	12.267	38	32	0.001
41	sumo	20939	3.957	19	19	0.001
42	ieiuno	5984	1.131	11	11	0.001
43	bibo1	16597	3.136	16	11	0.001
44	contentus1	2992	0.565	10	10	0.001
45	spiritalis	37791	7.141	24	24	0.001
46	ieiunus	1834	0.347	8	8	0.001
47	ante2	60876	11.503	31	30	0.001
48	amictum	1038	0.196	8	3	0.001
49	sitio	6675	1.261	11	11	0.001
50	fama	12017	2.271	12	12	0.001
51	fames	3873	0.732	9	9	0.001
52	animalis	1397	0.264	8	8	0.001
53	triticum	2643	0.499	9	9	0.001
54	corpus	132600	25.056	62	57	0.001
55	saturo	2797	0.529	8	7	0.001
56	uestis	12613	2.383	11	11	0.001
57	solum1	51239	9.682	25	23	0.001
58	infirmus1	14174	2.678	12	12	0.001
59	aqua	52979	10.011	25	22	0.001
60	paruulus1	6832	1.291	9	9	0.001
61	dens	5921	1.119	9	9	0.001
62	anima	116733	22.058	47	47	0.001
63	inedia	865	0.164	7	7	0.001
64	uinum	18420	3.481	14	14	0.001
65	alimonia	978	0.185	7	6	0.001
66	indignus	10887	2.057	10	10	0.001
67	edo1	31632	5.977	18	18	0.001
68	quotidie	12698	2.399	11	11	0.001
69	refectio	3521	0.665	8	8	0.001
70	apostolus	110647	20.908	43	39	0.001
71	retraho	2181	0.412	7	7	0.001
72	sanguis	45862	8.666	21	20	0.001
73	desiderium	25335	4.787	14	14	0.001
74	discerno	8580	1.621	8	7	0.001
75	quia	442718	83.657	137	100	0.001
76	paruulus2	6398	1.209	8	8	0.001
77	uaco	9172	1.733	8	8	0.001
78	uagio	442	0.084	6	4	0.001
79	indigeo	7378	1.394	8	8	0.001
80	do	144347	27.276	46	40	0.001
81	tedium	2027	0.383	6	6	0.001
82	luxuria	5360	1.013	8	7	0.001
83	ueraciter	6639	1.255	8	8	0.001
84	aut	162695	30.743	51	42	0.001
85	dubito	13695	2.588	10	10	0.001
86	feria	6295	1.19	8	6	0.001
87	dies	162845	30.772	54	49	0.001
88	odor	9468	1.789	8	6	0.001
89	dulcis	11566	2.186	9	8	0.001
90	euangelium	41469	7.836	18	17	0.001
91	prandium	1598	0.302	6	6	0.001
92	nec	293863	55.529	92	87	0.001
93	uerto	9199	1.738	8	7	0.001
94	fleo	8591	1.623	9	7	0.001
95	abeo	11397	2.154	10	9	0.001
96	medicus2	5886	1.112	8	8	0.001
97	erogo	2344	0.443	7	6	0.001
98	farina	1195	0.226	6	6	0.001
99	nonus	8901	1.682	8	8	0.001
100	consumo	8635	1.632	9	8	0.001
101	potus3	1427	0.27	6	6	0.001
102	holus	1270	0.24	6	5	0.001
103	hora	53825	10.171	21	18	0.001
104	nox	32345	6.112	16	15	0.001
105	occubo	1110	0.21	5	5	0.001
106	diues	12107	2.288	8	8	0.001
107	recreo	1668	0.315	5	5	0.001
108	tamquam	41093	7.765	16	15	0.001
109	temporalitas	157	0.03	5	4	0.001
110	eleemosyna	8813	1.665	7	6	0.001
111	intentus1	2400	0.454	6	4	0.001
112	quisque	30684	5.798	13	13	0.001
113	plenus	29149	5.508	11	11	0.001
114	post2	104923	19.826	30	27	0.001
115	appetitus	2559	0.484	6	6	0.001
116	uenatio	929	0.176	5	5	0.001
117	serpens	9744	1.841	8	7	0.001
118	perfectus1	22768	4.302	10	7	0.001
119	angelus	45679	8.632	16	15	0.001
120	antiquus	20253	3.827	9	9	0.001
121	necdum	5026	0.95	6	5	0.001
122	cana	1396	0.264	5	5	0.001
123	6	15957	3.015	9	9	0.001
124	cohibeo	2626	0.496	5	5	0.001
125	impendo	4576	0.865	6	6	0.001
126	incorporeus	1799	0.34	5	5	0.001
127	ualeo	39921	7.544	14	13	0.001
128	indumentum	2616	0.494	5	5	0.001
129	nam	125410	23.698	35	32	0.001
130	familia	6111	1.155	7	7	0.001
131	usus	21101	3.987	11	10	0.001
132	querio	21994	4.156	11	11	0.001
133	mare	36490	6.895	15	15	0.001
134	prebeo	14414	2.724	8	8	0.001
135	itaque	51962	9.819	17	16	0.001
136	solitudo	5419	1.024	6	6	0.001
137	celestis	42191	7.973	15	14	0.001
138	spiritalia	2517	0.476	5	5	0.001
139	communis	22690	4.288	11	9	0.001
140	inuidus	1536	0.29	5	5	0.001
141	largior	6218	1.175	6	6	0.001
142	;	739006	139.644	188	167	0.001
143	corporalis	9285	1.755	7	7	0.001
144	dedo	28766	5.436	13	12	0.001
145	uitium	12525	2.367	8	8	0.001
146	penuria	1445	0.273	5	4	0.001
147	perficio	15848	2.995	9	9	0.001
148	postquam	18936	3.578	10	10	0.001
149	scriptura	42418	8.015	16	14	0.001
150	sine	93975	17.758	31	29	0.001
151	difficile	643	0.122	5	5	0.001
152	copia	6648	1.256	6	6	0.001
153	insisto	4945	0.934	6	6	0.001
154	peruenio	29327	5.542	13	11	0.001
155	retorqueo	1272	0.24	5	5	0.001
156	laboro	15951	3.014	9	9	0.001
157	:	1142524	215.894	312	221	0.001
158	ebriosus	714	0.135	5	5	0.001
159	pernicies	1806	0.341	5	5	0.001
160	deliro	365	0.069	5	5	0.001
161	corona1	9930	1.876	8	8	0.001
162	)	529289	100.015	131	108	0.001
163	pauper	27406	5.179	12	12	0.001
164	manna	2628	0.497	6	6	0.001
165	piscis	5037	0.952	6	6	0.001
166	necessarius1	20431	3.861	9	9	0.001
167	sicut	195324	36.909	58	54	0.001
168	obtutus	1201	0.227	5	5	0.001
169	quando	67690	12.791	20	18	0.001
170	rebaptizo	798	0.151	5	5	0.001
171	requiro	15427	2.915	8	8	0.001
172	plus1	20015	3.782	9	9	0.001
173	quero	43924	8.3	15	15	0.001
174	alo	2631	0.497	6	6	0.001
175	crapula	650	0.123	5	5	0.001
176	uerbum	139243	26.312	36	36	0.001
177	frequenter	8251	1.559	5	5	0
178	os2	6534	1.235	5	5	0
179	quis	238193	45.009	56	53	0
180	habitus	8438	1.595	6	5	0
181	addo	22667	4.283	8	8	0
182	perdo	20743	3.92	8	8	0
183	terrenus	18094	3.419	8	8	0
184	uas2	8718	1.647	5	5	0
185	uictus2	3001	0.567	5	5	0
186	dico3	638683	120.687	121	102	0
187	occurro	12313	2.327	6	6	0
188	perfecte	6928	1.309	5	5	0
189	tempus	135642	25.631	30	26	0
190	membrum	26538	5.015	10	10	0
191	augmentum	3444	0.651	5	5	0
192	nullus	117960	22.29	29	27	0
193	quidem	81625	15.424	20	19	0
194	lex	99633	18.827	21	17	0
195	diuitia	13350	2.523	7	7	0
196	herba	4473	0.845	5	4	0
197	dum	89104	16.837	21	20	0
198	sustento	3408	0.644	5	5	0
199	cum1	349681	66.076	75	65	0
200	sed	527123	99.606	101	89	0
201	uigilo	7738	1.462	6	6	0
202	paro1	20469	3.868	8	8	0
203	domus	66731	12.61	18	16	0
204	exerceo	13592	2.568	6	6	0
205	corrumpo	8634	1.632	5	5	0
206	morbus	5637	1.065	5	5	0
207	expecto	8690	1.642	6	6	0
208	necessitas	24265	4.585	8	8	0
209	somnus	6827	1.29	5	5	0
210	3	41232	7.791	12	12	0
211	quotidianus	4276	0.808	5	5	0
212	abluo	4053	0.766	5	5	0
213	sum	2675321	505.534	523	329	0
214	pertineo	29921	5.654	9	9	0
215	semper	68051	12.859	17	16	0
216	decipio	9319	1.761	6	6	0
217	nondum	13991	2.644	7	7	0
218	labor2	29034	5.486	10	8	0
219	generalis	6249	1.181	5	5	0
220	suauis	6568	1.241	5	5	0
221	accipio	98697	18.65	25	21	0
222	temporalis	11489	2.171	6	6	0
223	permitto	18886	3.569	7	7	0
224	etiam	208628	39.423	50	48	0
225	obseruantia	3591	0.679	5	4	0
226	disputatio	3575	0.676	5	5	0
227	iaceo	10581	1.999	6	6	0
228	ante1	13605	2.571	6	6	0
229	uita	140717	26.59	30	29	0
230	hortus	9062	1.712	6	5	0
231	respuo	3604	0.681	5	5	0
232	immundus1	7659	1.447	6	6	0
233	continuus	4300	0.813	5	5	0
234	salum	6744	1.274	5	5	0
235	appono	6182	1.168	5	5	0
236	sapientia	43276	8.178	12	11	0
237	scilicet	62392	11.79	16	16	0
238	simplex	12113	2.289	7	7	0
239	despicio	7754	1.465	6	6	0
240	iudeus	58460	11.047	15	13	0
241	,	11231227	2122.274	2261	941	0
242	paupertas	4899	0.926	5	5	0
243	suus	581957	109.968	122	111	0
244	seruio	20152	3.808	7	6	0
245	unusquisque	24422	4.615	8	8	0
246	frater	114228	21.585	28	26	0
247	offero	31610	5.973	9	9	0
248	certamen	6925	1.309	5	4	0
249	ergo1	175499	33.163	38	32	0
250	etas	19002	3.591	8	8	0
251	cupiditas	8598	1.625	5	5	0
252	uespera	3338	0.631	5	5	0
253	ita	137694	26.019	32	31	0
254	hic2	47538	8.983	12	12	0
255	enim	362284	68.458	81	73	0
256	albus	5616	1.061	5	5	0
257	iter	15981	3.02	7	7	0
258	fundo2	7384	1.395	5	5	0
259	longus	14006	2.647	6	6	0
260	concupio	7742	1.463	5	5	0
261	impetro	5990	1.132	5	5	0
262	possum	320535	60.569	71	68	0
263	sensus	29972	5.664	9	9	0
264	?	292895	55.346	57	55	0
265	dulcedo	8192	1.548	5	5	0
266	minuo	6294	1.189	5	5	0
267	precipio	19314	3.65	8	7	0
268	ne2	136259	25.748	35	35	0
269	sufficio	17441	3.296	8	8	0
270	dominicus1	26625	5.031	10	10	0
271	cum2	281771	53.244	57	53	0
272	uerus	71537	13.518	17	15	0
273	auis	3822	0.722	5	5	0
274	cerno	14364	2.714	6	6	0
275	.	4457983	842.389	895	489	0
276	ille2	591707	111.81	124	111	0
277	alius	245108	46.316	49	46	0
278	et	3528590	666.769	653	419	0
279	miro	11754	2.221	6	6	0
280	morior	46808	8.845	14	11	0
281	multum1	13564	2.563	6	6	0
282	uehementer	6149	1.162	5	5	0
283	non	1147160	216.77	251	190	0
284	uilis	5616	1.061	5	5	0
285	seruo	33608	6.351	10	9	0
