"Text"	"No. words in text"	"No. hits in text"	"Freq. per million words"
001_Tertul_AdMar	1916	1	521.92
001_Tertul_AdNat	17850	1	56.02
001_Tertul_AdUxo	5440	3	551.47
001_Tertul_DeOra	8150	1	122.7
002_AuInTe_AdvMar2	11661	3	257.27
002_AucVar_FrMeEtN	6875	4	581.82
002_Tertul_AdvJud	14983	1	66.74
002_Tertul_AdvMar	110912	19	171.31
002_Tertul_DeAni	31220	8	256.25
002_Tertul_DeCoMi	6611	1	151.26
002_Tertul_DeJej	7382	17	2302.9
002_Tertul_DeMon	8954	4	446.73
002_Tertul_DePud	17965	4	222.66
002_Tertul_DeReCa	29620	3	101.28
003_AuInStI_EpiDec	4662	1	214.5
003_AucInc_Chroni	8797	1	113.68
003_CorPap_Episto2	19060	1	52.47
003_CypCar_EpDeBaH	19148	2	104.45
003_MaMiFe_Octavi	18639	4	214.6
003_Novati_DeCiJu	3379	35	10358.09
003_Novati_DeTri	26196	1	38.17
004_AuInCyC_DeAle	2555	2	782.78
004_AuInCyC_DeSiCl	13896	3	215.89
004_AuInCyC_DeXiAbS	5280	4	757.58
004_AucInc_AdvJud2	2762	2	724.11
004_AucInc_DeDuMa	10704	2	186.85
004_CypCar_AdDem	5811	1	172.09
004_CypCar_DeBoPa	5283	3	567.86
004_CypCar_DeHaVi	5382	1	185.8
004_CypCar_DeLap	7559	10	1322.93
004_CypCar_DeOpEtE	6000	5	833.33
004_CypCar_DeOrDo	8042	6	746.08
004_CypCar_DeUnEc	6708	1	149.08
004_CypCar_DeZeEtL	3766	3	796.6
004_CypCar_EpDeExM	7901	1	126.57
004_CypCar_Episto5	54801	8	145.98
004_CypCar_TeAdJu	35893	7	195.02
005_ArnAfe_DiAdGe	87271	15	171.88
005_AuInEuP_EpEtDe2	5181	1	193.01
005_AucVar_SupAdn	31073	11	354.01
005_CaiPap_Episto7	2940	1	340.14
005_DioAle_Episto6	1272	1	786.16
005_VicPet_FrDeFaM	2256	1	443.26
006_Lactan_DiInLiI	21526	3	139.37
006_Lactan_DiInLiI2	19457	3	154.19
006_Lactan_DiInLiI3	22765	3	131.78
006_Lactan_DiInLiI4	21307	6	281.6
006_Lactan_DiInLiV	18567	1	53.86
006_Lactan_DiInLiV2	23197	2	86.22
006_Lactan_DiInLiV3	20109	2	99.46
006_Lactan_EpDiIn	22005	4	181.78
007_AuInLa_Phoeni	1338	1	747.38
